Document Type,Document Link,Description,Date
4,https://www.sec.gov/Archives/edgar/data/21344/000112760224018886/0001127602-24-018886-index.htm,"Statement of changes in beneficial ownership of securities
Acc-no: 0001127602-24-018886 Size: 8 KB",6/18/2024
144,https://www.sec.gov/Archives/edgar/data/21344/000195004724004766/0001950047-24-004766-index.htm,"Report of proposed sale of securities
Acc-no: 0001950047-24-004766 (33 Act)  Size: 4 KB",6/14/2024
4,https://www.sec.gov/Archives/edgar/data/21344/000112760224018549/0001127602-24-018549-index.htm,"Statement of changes in beneficial ownership of securities
Acc-no: 0001127602-24-018549 Size: 11 KB",6/13/2024
144,https://www.sec.gov/Archives/edgar/data/21344/000195004724004612/0001950047-24-004612-index.htm,"Report of proposed sale of securities
Acc-no: 0001950047-24-004612 (33 Act)  Size: 6 KB",6/11/2024
11-K,https://www.sec.gov/Archives/edgar/data/21344/000002134424000027/0000021344-24-000027-index.htm,"Annual report of employee stock purchase, savings and similar plans
Acc-no: 0000021344-24-000027 (34 Act)  Size: 453 KB",6/4/2024
11-K,https://www.sec.gov/Archives/edgar/data/21344/000002134424000025/0000021344-24-000025-index.htm,"Annual report of employee stock purchase, savings and similar plans
Acc-no: 0000021344-24-000025 (34 Act)  Size: 469 KB",6/4/2024
4,https://www.sec.gov/Archives/edgar/data/21344/000112760224015565/0001127602-24-015565-index.htm,"Statement of changes in beneficial ownership of securities
Acc-no: 0001127602-24-015565 Size: 11 KB",5/16/2024
144,https://www.sec.gov/Archives/edgar/data/21344/000195004724003700/0001950047-24-003700-index.htm,"Report of proposed sale of securities
Acc-no: 0001950047-24-003700 (33 Act)  Size: 4 KB",5/15/2024
CERT,https://www.sec.gov/Archives/edgar/data/21344/000087666124000344/0000876661-24-000344-index.htm,"Certification by an exchange approving securities for listing
Acc-no: 0000876661-24-000344 (34 Act)  Size: 40 KB",5/14/2024
8-A12B,https://www.sec.gov/Archives/edgar/data/21344/000155278124000326/0001552781-24-000326-index.htm,"Registration of securities [Section 12(b)]
Acc-no: 0001552781-24-000326 (34 Act)  Size: 149 KB",5/14/2024
4,https://www.sec.gov/Archives/edgar/data/21344/000112760224015229/0001127602-24-015229-index.htm,"Statement of changes in beneficial ownership of securities
Acc-no: 0001127602-24-015229 Size: 11 KB",5/14/2024
144,https://www.sec.gov/Archives/edgar/data/21344/000195004724003561/0001950047-24-003561-index.htm,"Report of proposed sale of securities
Acc-no: 0001950047-24-003561 (33 Act)  Size: 4 KB",5/10/2024
4,https://www.sec.gov/Archives/edgar/data/21344/000112760224014976/0001127602-24-014976-index.htm,"Statement of changes in beneficial ownership of securities
Acc-no: 0001127602-24-014976 Size: 12 KB",5/10/2024
144,https://www.sec.gov/Archives/edgar/data/21344/000195004724003539/0001950047-24-003539-index.htm,"Report of proposed sale of securities
Acc-no: 0001950047-24-003539 (33 Act)  Size: 4 KB",5/9/2024
4,https://www.sec.gov/Archives/edgar/data/21344/000112760224014740/0001127602-24-014740-index.htm,"Statement of changes in beneficial ownership of securities
Acc-no: 0001127602-24-014740 Size: 11 KB",5/9/2024
424B2,https://www.sec.gov/Archives/edgar/data/21344/000155278124000298/0001552781-24-000298-index.htm,"Prospectus [Rule 424(b)(2)]
Acc-no: 0001552781-24-000298 (33 Act)  Size: 564 KB",5/8/2024
424B2,https://www.sec.gov/Archives/edgar/data/21344/000155278124000297/0001552781-24-000297-index.htm,"Prospectus [Rule 424(b)(2)]
Acc-no: 0001552781-24-000297 (33 Act)  Size: 485 KB",5/8/2024
4,https://www.sec.gov/Archives/edgar/data/21344/000112760224014574/0001127602-24-014574-index.htm,"Statement of changes in beneficial ownership of securities
Acc-no: 0001127602-24-014574 Size: 11 KB",5/8/2024
FWP,https://www.sec.gov/Archives/edgar/data/21344/000155278124000288/0001552781-24-000288-index.htm,"Filing under Securities Act Rules 163/433 of free writing prospectuses
Acc-no: 0001552781-24-000288 (34 Act)  Size: 49 KB",5/7/2024
144,https://www.sec.gov/Archives/edgar/data/21344/000195004724003464/0001950047-24-003464-index.htm,"Report of proposed sale of securities
Acc-no: 0001950047-24-003464 (33 Act)  Size: 5 KB",5/7/2024
144,https://www.sec.gov/Archives/edgar/data/21344/000195004724003462/0001950047-24-003462-index.htm,"Report of proposed sale of securities
Acc-no: 0001950047-24-003462 (33 Act)  Size: 4 KB",5/7/2024
4,https://www.sec.gov/Archives/edgar/data/21344/000112760224014411/0001127602-24-014411-index.htm,"Statement of changes in beneficial ownership of securities
Acc-no: 0001127602-24-014411 Size: 11 KB",5/7/2024
424B5,https://www.sec.gov/Archives/edgar/data/21344/000155278124000280/0001552781-24-000280-index.htm,"Prospectus [Rule 424(b)(5)]
Acc-no: 0001552781-24-000280 (33 Act)  Size: 550 KB",5/7/2024
FWP,https://www.sec.gov/Archives/edgar/data/21344/000155278124000278/0001552781-24-000278-index.htm,"Filing under Securities Act Rules 163/433 of free writing prospectuses
Acc-no: 0001552781-24-000278 (34 Act)  Size: 32 KB",5/7/2024
SC 13D/A,https://www.sec.gov/Archives/edgar/data/21344/000155278124000276/0001552781-24-000276-index.htm,"[Amend] General Statement of Acquisition of Beneficial Ownership
Acc-no: 0001552781-24-000276 Size: 184 KB",5/6/2024
144,https://www.sec.gov/Archives/edgar/data/21344/000195004724003384/0001950047-24-003384-index.htm,"Report of proposed sale of securities
Acc-no: 0001950047-24-003384 (33 Act)  Size: 4 KB",5/6/2024
424B5,https://www.sec.gov/Archives/edgar/data/21344/000155278124000274/0001552781-24-000274-index.htm,"Prospectus [Rule 424(b)(5)]
Acc-no: 0001552781-24-000274 (33 Act)  Size: 464 KB",5/6/2024
S-8 POS,https://www.sec.gov/Archives/edgar/data/21344/000155278124000266/0001552781-24-000266-index.htm,"Securities to be offered to employees in employee benefit plans, post-effective amendments
Acc-no: 0001552781-24-000266 (33 Act)  Size: 173 KB",5/2/2024
S-8,https://www.sec.gov/Archives/edgar/data/21344/000155278124000265/0001552781-24-000265-index.htm,"Securities to be offered to employees in employee benefit plans
Acc-no: 0001552781-24-000265 (33 Act)  Size: 505 KB",5/2/2024
PX14A6G,https://www.sec.gov/Archives/edgar/data/21344/000109690624000793/0001096906-24-000793-index.htm,"Notice of exempt solicitation submitted by non-management
Acc-no: 0001096906-24-000793 (34 Act)  Size: 41 KB",4/11/2024
PX14A6G,https://www.sec.gov/Archives/edgar/data/21344/000121465924006503/0001214659-24-006503-index.htm,"Notice of exempt solicitation submitted by non-management
Acc-no: 0001214659-24-006503 (34 Act)  Size: 42 KB",4/10/2024
4,https://www.sec.gov/Archives/edgar/data/21344/000112760224012139/0001127602-24-012139-index.htm,"Statement of changes in beneficial ownership of securities
Acc-no: 0001127602-24-012139 Size: 6 KB",4/3/2024
4,https://www.sec.gov/Archives/edgar/data/21344/000112760224012136/0001127602-24-012136-index.htm,"Statement of changes in beneficial ownership of securities
Acc-no: 0001127602-24-012136 Size: 6 KB",4/3/2024
4,https://www.sec.gov/Archives/edgar/data/21344/000112760224012131/0001127602-24-012131-index.htm,"Statement of changes in beneficial ownership of securities
Acc-no: 0001127602-24-012131 Size: 6 KB",4/3/2024
4,https://www.sec.gov/Archives/edgar/data/21344/000112760224012123/0001127602-24-012123-index.htm,"Statement of changes in beneficial ownership of securities
Acc-no: 0001127602-24-012123 Size: 10 KB",4/3/2024
4,https://www.sec.gov/Archives/edgar/data/21344/000112760224012119/0001127602-24-012119-index.htm,"Statement of changes in beneficial ownership of securities
Acc-no: 0001127602-24-012119 Size: 7 KB",4/3/2024
4,https://www.sec.gov/Archives/edgar/data/21344/000112760224012086/0001127602-24-012086-index.htm,"Statement of changes in beneficial ownership of securities
Acc-no: 0001127602-24-012086 Size: 6 KB",4/3/2024
4,https://www.sec.gov/Archives/edgar/data/21344/000112760224012084/0001127602-24-012084-index.htm,"Statement of changes in beneficial ownership of securities
Acc-no: 0001127602-24-012084 Size: 6 KB",4/3/2024
4,https://www.sec.gov/Archives/edgar/data/21344/000112760224012082/0001127602-24-012082-index.htm,"Statement of changes in beneficial ownership of securities
Acc-no: 0001127602-24-012082 Size: 6 KB",4/3/2024
4,https://www.sec.gov/Archives/edgar/data/21344/000112760224012080/0001127602-24-012080-index.htm,"Statement of changes in beneficial ownership of securities
Acc-no: 0001127602-24-012080 Size: 6 KB",4/3/2024
4,https://www.sec.gov/Archives/edgar/data/21344/000112760224012078/0001127602-24-012078-index.htm,"Statement of changes in beneficial ownership of securities
Acc-no: 0001127602-24-012078 Size: 6 KB",4/3/2024
4,https://www.sec.gov/Archives/edgar/data/21344/000112760224012076/0001127602-24-012076-index.htm,"Statement of changes in beneficial ownership of securities
Acc-no: 0001127602-24-012076 Size: 6 KB",4/3/2024
4,https://www.sec.gov/Archives/edgar/data/21344/000112760224012074/0001127602-24-012074-index.htm,"Statement of changes in beneficial ownership of securities
Acc-no: 0001127602-24-012074 Size: 6 KB",4/3/2024
4,https://www.sec.gov/Archives/edgar/data/21344/000112760224012072/0001127602-24-012072-index.htm,"Statement of changes in beneficial ownership of securities
Acc-no: 0001127602-24-012072 Size: 6 KB",4/3/2024
PX14A6G,https://www.sec.gov/Archives/edgar/data/21344/000121465924005291/0001214659-24-005291-index.htm,"Notice of exempt solicitation submitted by non-management
Acc-no: 0001214659-24-005291 (34 Act)  Size: 31 KB",3/27/2024
ARS,https://www.sec.gov/Archives/edgar/data/21344/000110465924035312/0001104659-24-035312-index.htm,"Annual Report to Security Holders
Acc-no: 0001104659-24-035312 (34 Act)  Size: 17 MB",3/18/2024
DEFA14A,https://www.sec.gov/Archives/edgar/data/21344/000155837024003470/0001558370-24-003470-index.htm,"Additional definitive proxy soliciting materials and Rule 14(a)(12) material
Acc-no: 0001558370-24-003470 (34 Act)  Size: 804 KB",3/18/2024
DEFA14A,https://www.sec.gov/Archives/edgar/data/21344/000155837024003469/0001558370-24-003469-index.htm,"Additional definitive proxy soliciting materials and Rule 14(a)(12) material
Acc-no: 0001558370-24-003469 (34 Act)  Size: 145 KB",3/18/2024
4,https://www.sec.gov/Archives/edgar/data/21344/000112760224010244/0001127602-24-010244-index.htm,"Statement of changes in beneficial ownership of securities
Acc-no: 0001127602-24-010244 Size: 11 KB",3/15/2024
